dates,lesson
"Friday, Nov 9th 2018",Lambda Functions - Lab
"Friday, Nov 9th 2018",Lambda Functions
"Thursday, Nov 8th 2018",Introduction
"Thursday, Nov 8th 2018",Section Recap
"Thursday, Nov 8th 2018",Project: EDA with Pandas Using the Boston Housing Data
"Tuesday, Nov 6th 2018",Kaggle and The Boston Housing Dataset
"Tuesday, Nov 6th 2018",Data Visualization with Pandas
"Sunday, Nov 4th 2018",Statistical Methods in Pandas - Lab
"Sunday, Nov 4th 2018",Statistical Methods in Pandas
"Sunday, Nov 4th 2018",Accessing Data with Pandas - Lab
"Sunday, Nov 4th 2018",Accessing Data with Pandas
"Sunday, Nov 4th 2018",Understanding Pandas Series and Dataframes - Lab
"Saturday, Nov 3rd 2018",Understanding Pandas Series and DataFrames
"Saturday, Nov 3rd 2018",Importing Data Using Pandas - Lab
"Thursday, Oct 25th 2018",Importing Data Using Pandas
"Thursday, Oct 25th 2018",Introducing Python Libraries
"Thursday, Oct 25th 2018",Section Recap
"Thursday, Oct 25th 2018",Project: Building A Calculator
"Thursday, Oct 25th 2018",User Input and Output in Python
"Thursday, Oct 25th 2018",Implementing Statistics with Functions - Lab
"Wednesday, Oct 24th 2018",Measures of Dispersion - Quiz
"Wednesday, Oct 24th 2018",Measures of Dispersion
"Wednesday, Oct 24th 2018",Measures of Central Tendency - Quiz
"Wednesday, Oct 24th 2018",Measures of Central Tendency
"Wednesday, Oct 24th 2018",Functions with Arguments - Lab
"Wednesday, Oct 24th 2018",Functions with Arguments
"Wednesday, Oct 24th 2018",Creating Functions - Lab
"Wednesday, Oct 24th 2018",Creating Functions
"Wednesday, Oct 24th 2018",Using Nested Loops - Lab
"Wednesday, Oct 24th 2018",Using Nested Loops
"Wednesday, Oct 24th 2018","While Loops, Break and Continue - Lab"
"Wednesday, Oct 24th 2018",While Loops Break and Continue
"Wednesday, Oct 24th 2018","Built-in Python Operators, Functions and Methods - Lab"
"Wednesday, Oct 24th 2018","Python Operators, Functions And Methods"
"Tuesday, Oct 23rd 2018",Introduction
"Tuesday, Oct 23rd 2018",Section Recap
"Tuesday, Oct 23rd 2018",Project: Analyzing Macbeth
"Tuesday, Oct 23rd 2018",Data Visualization - Lab
"Tuesday, Oct 23rd 2018",Data Visualization
"Tuesday, Oct 23rd 2018",Working with Dictionaries - Lab
"Tuesday, Oct 23rd 2018",Working with Dictionaries
"Tuesday, Oct 23rd 2018",Looping Over Collections - Lab
"Tuesday, Oct 23rd 2018",Looping Over Collections
"Tuesday, Oct 23rd 2018",Working with Lists - Lab
"Tuesday, Oct 23rd 2018",Working with Lists
"Tuesday, Oct 23rd 2018",Control Flow: Conditionals - Lab
"Tuesday, Oct 23rd 2018",Control Flow: Conditionals
"Tuesday, Oct 23rd 2018",Introduction to Variables: Variable Assignment - Lab
"Tuesday, Oct 23rd 2018",Introduction to Variables: Strings and Numeric Types - Lab
"Tuesday, Oct 23rd 2018",Introduction to Variables: Numeric Types and Booleans
"Tuesday, Oct 23rd 2018",Introduction to Variables: Strings - Lab
"Tuesday, Oct 23rd 2018",Introduction to Variables: Strings
"Tuesday, Oct 23rd 2018",Introduction to Variables: Variable Assignment
"Tuesday, Oct 23rd 2018",Your First Data Science Codealong!
"Monday, Oct 22nd 2018",Working with Lessons on Learn - Lab
"Monday, Oct 22nd 2018",Working with Lessons on Learn
"Tuesday, Oct 9th 2018",The Data Science Process
"Tuesday, Oct 9th 2018",Problems Data Science Can Solve
"Tuesday, Oct 9th 2018",Introduction
"Tuesday, Oct 9th 2018",Welcome
"Sunday, Oct 7th 2018",Map Readme
"Sunday, Oct 7th 2018",Filter Readme
"Sunday, Oct 7th 2018",Conditionals Python Lab
"Sunday, Oct 7th 2018",Conditionals Python Readme
"Sunday, Oct 7th 2018",Function Arguments Lab
"Sunday, Oct 7th 2018",Function Arguments Readme
