dates,lesson
"Friday, Mar 22nd",Python Variables Lab
"Friday, Mar 22nd",Python Variables Readme
"Sunday, Mar 17th",Python Practice With Datatypes
"Sunday, Mar 17th",Python Numbers And Booleans
"Sunday, Mar 17th",Python Intro To Strings
"Sunday, Mar 17th",Instant Data Science
"Saturday, Mar 16th",Introduction To Data Science
